pdb_id,status,error,chrom_resname,n_chrom_atoms,n_cage_atoms,tau_exp_deg,phi_exp_deg,exp_cell_overlap_a,exp_cell_allowed,n_allowed,n_total,A_allowed_deg2,f_allowed,f_allowed_folded,max_overlap_a,min_overlap_a,d_exp_to_clash_deg,scan_seconds,phi_symmetric,tau_centroid_deg,phi_centroid_deg,d_centroid_to_planar_deg,d_exp_to_planar_deg,planar_tau_ref_deg,planar_phi_ref_deg,n_allowed_065,A_allowed_deg2_065,f_allowed_065,f_allowed_folded_065,d_centroid_to_planar_065_deg,major_axis_angle_deg,major_axis_aspect_ratio,d_exp_to_centroid_deg,esp_at_op_V,efield_mag_V_per_A,efield_along_co_V_per_A,esp_n_residues_within_12a,esp_error,esp_at_op_V_ff14,efield_mag_V_per_A_ff14,efield_along_co_V_per_A_ff14,esp_near_V_ff14,esp_far_V_ff14,esp_water_V_ff14,efield_along_co_near_V_per_A_ff14,efield_along_co_far_V_per_A_ff14,efield_along_co_water_V_per_A_ff14,esp_n_residues_near_ff14,esp_n_residues_far_ff14,esp_n_waters_ff14,has_chromophore,chromophore_type,n_atoms,convex_area,convex_perimeter,major_axis,minor_axis,eccentricity,circularity,barrel_length,original_axis_angle,eigenvalue_ratio,expected_chromophore,ex_max,em_max,match_name,source,config,tau_main,planarity_deviation,aspect_ratio,compactness,stokes_shift,color_class,resolution,r_factor,seq_length,mean_b_factor,std_b_factor,mean_b_ca,chrom_b_factor,barrel_b_factor,b_factor_ratio,chrom_contacts,chrom_contact_density,n_disulfides,n_waters,lit_qy,lit_ec,lit_brightness,n_residues,canonical_cohort
1B9C,ok,,CRO,21.0,7172.0,2.383488765761248,-3.1882987625983503,0.3371047623804299,True,22.0,5184.0,550.0,0.0042438271604938,0.0084876543209876,3.1305479382297263,0.3023688938138837,3.1825135368919044,16.831856124999998,True,-1.1373301867111805,11.162615682619348,11.220405912063248,3.980737079498757,0.0,0.0,144.0,3600.0,0.0277777777777777,0.0324074074074074,9.570340756999444,-89.89382617018076,14.042905080700448,14.776498621461288,1.7705683084758168,0.7983328966594843,-0.154363162714384,64.0,,-0.248519699435374,0.5338769775364262,0.3457774720203396,-2.5661293033858903,2.3176096039505163,0.0,0.436910559479975,-0.0911330874596354,0.0,13.0,53.0,0.0,True,CRO,159,625.8333914137407,92.50351194503342,30.95277992556587,29.04831366629285,0.3453556492765064,0.9190775391436544,45.81435110064683,49.50606995140837,2.1300988579775937,True,488.0,507.0,green fluorescent,keyword,cis,-3.1882987625983543,3.1882987625983543,1.0655620247409725,0.9243174396957616,19.0,green,2.4,0.204,224,39.99152651019083,12.7707316355201,39.13799111332212,34.43000066848028,40.05736193447264,0.8595174271536451,130,0.2077230166743476,0.0,286.0,,,,,True
1C4F,ok,,CRO,22.0,1707.0,0.4492202698342444,-0.1263189070691623,0.3193746223028375,True,90.0,5184.0,2250.0,0.0173611111111111,0.0177469135802469,3.020985893474625,0.2098501698420385,6.854833454538642,6.142371499999999,True,-4.66570791907341,-20.00000000000001,20.53701123304228,0.4666426010482862,0.0,0.0,177.0,4425.0,0.0341435185185185,0.0362654320987654,35.32532583866958,89.1478338999864,13.096657289171866,20.521347191673343,-1.7225073111591929,0.3930841101900766,0.0159723492320965,47.0,,-0.0139751359487132,0.6524678067403491,-0.5848607742446486,-1.9572777276206177,0.7731435791950296,1.1701590124768746,-0.0515733961595039,0.1929854348934802,-0.7262728129786249,14.0,38.0,1.0,True,CRO,160,633.1500720126188,93.30750904561698,31.41690045015392,29.360456790186863,0.3558491869682131,0.9138677119984628,46.94221253552582,50.760917291240425,2.131802929493554,True,488.0,507.0,green fluorescent,keyword,cis,-0.1263189070691517,0.1263189070691517,1.070041269271205,0.9206920180314472,19.0,green,2.25,0.193,224,43.34884546574629,13.303700109819912,39.68504456962858,32.31045454198664,43.49228586759077,0.742900813269589,110,0.173734482332662,0.0,62.0,,,,,True
1CV7,ok,,CRF,24.0,1728.0,34.64550029533548,-36.299928729103954,0.4130122144830834,False,2.0,5184.0,50.0,0.0003858024691358,0.0003858024691358,3.265972434694427,0.3907833638804785,1.3473992509115706,6.045623000000003,False,17.5,-40.0,43.660622991432454,50.17963248622011,0.0,0.0,129.0,3225.0,0.0248842592592592,0.0248842592592592,53.40375829905562,-77.66021366347772,3.021600727217108,17.540202615336558,,,,0.0,non_tyr_chromophore,,,,,,,,,,0.0,0.0,0.0,True,CRF,168,679.622255867955,95.37379628193618,32.46497367497069,29.79276843077311,0.397298141953785,0.9388999522796424,52.56238967807992,49.39284907850716,2.177967180586152,True,434.0,476.0,CFP W66,manual,twisted,-36.29992872910393,36.29992872910393,1.0896930827494853,0.9388999522796428,42.0,cyan,2.5,0.186,225,50.247497162967065,19.955192927898143,45.64328877766927,26.17375000317892,50.58458580464438,0.5174254090813529,107,0.157440400275516,0.0,30.0,,,,,True
1EMA,ok,,CRO,22.0,1763.0,-17.557120105736356,13.024501170160818,0.3365086168636697,True,28.0,5184.0,700.0,0.0054012345679012,0.0108024691358024,3.1234442541518783,0.3212208115323167,3.231324629599607,6.586532334000001,True,-16.78656406562079,-24.901998553527317,30.031621086599166,21.86069754465241,0.0,0.0,170.0,4250.0,0.0327932098765432,0.0474537037037037,170.09247154920556,-89.94046921825752,13.969450910330456,37.93432664358069,1.6103987509418465,0.6485198544193572,0.0127742858404296,48.0,,-0.3677929355074478,0.6613039967970712,-0.2133806476015483,-2.883408079773769,1.2790169647088825,1.236598179557439,0.2996009767758316,0.1021194859054186,-0.6151011102827987,13.0,40.0,1.0,True,CRO,155,656.9658590716925,94.00823259519852,31.35275937682759,30.03561978478757,0.2868026872793002,0.9341591872485152,47.4490978046958,50.79586362486499,2.175164345828154,True,488.0,507.0,EGFP S65T,manual,cis,13.024501170160836,13.024501170160836,1.043852585745779,0.9537808339886358,19.0,green,1.9,,225,23.493376608557245,16.40496436717711,18.376311141120063,12.611363714391535,23.630257273892664,0.5336955737813699,107,0.1628699551468221,0.0,95.0,,,,,True
1EMB,ok,,CRO,22.0,1825.0,-7.140300101303171,5.68586155000952,0.4648197214906751,False,32.0,5184.0,800.0,0.0061728395061728,0.0119598765432098,3.072306288265162,0.3120404813142206,2.247507639457511,5.935120124999997,True,-13.437042979585469,12.56975213543882,18.399804150631493,9.12759043244968,0.0,0.0,151.0,3775.0,0.029128086419753,0.033179012345679,161.88340840316354,89.22226784729902,16.405002598218104,9.32935798795186,-1.297420793230903,0.9875984298545818,-0.0443417736292186,49.0,,-1.5322947660975623,0.7871299114974266,-0.5542443808241365,-2.6210081298098222,-0.3546989372911567,1.4434123010034163,0.2393693818168233,-0.0337870316887398,-0.75982673095222,13.0,40.0,1.0,True,CRO,161,680.2535126444811,96.6303221892144,31.7567943722209,31.107257626921783,0.2012177974234427,0.9154904154221308,47.49086751373776,51.6246046181809,2.184641668797888,True,488.0,507.0,gfp,keyword,cis,5.685861550009507,5.685861550009507,1.0208805531200853,0.9148205033099356,19.0,green,2.13,0.196,225,33.1154337004762,17.494142582299894,26.32071114857992,19.553181626579978,33.280187728982945,0.5875321913990156,107,0.1572942998618826,0.0,74.0,0.79,25000.0,19.75,,True
1EMC,ok,,GYS,21.0,7188.0,0.286329813496538,0.7888289975201417,0.3058441965419081,True,54.0,5184.0,1350.0,0.0104166666666666,0.0142746913580246,2.987108254216574,0.2711312770244309,4.779219372916484,18.138130666,True,-0.3705742624991806,-177.7151219762411,177.71550833935197,0.8391876723508233,0.0,0.0,178.0,4450.0,0.0343364197530864,0.0405092592592592,32.69296904611403,89.34220065308584,13.300103630036176,178.505159690716,0.1818258500635631,0.8060099407066899,-0.1338037883051552,49.0,,0.7388024616223915,0.7822635439935246,-0.4285894779145888,-1.541528209200917,0.9254268774125464,1.3549037934107622,0.4457133959211265,-0.2031307620713933,-0.6711721117643221,13.0,39.0,1.0,True,GYS,159,684.2152001818841,96.47730630957746,31.89894768510412,31.04659605763944,0.2296230788291007,0.9237453038086896,46.48073430126005,15.00008241110142,2.138045397318543,True,488.0,507.0,green fluorescent,keyword,cis,0.7888289975201576,0.7888289975201576,1.0274539477977636,0.9237453038086896,19.0,green,2.3,0.205,225,16.37658198139142,13.55729902500601,14.20389378387316,5.649047579084124,16.502435736949217,0.3423159871143031,97,0.14176826234526,0.0,158.0,,,,,True
1EME,ok,,GYS,21.0,1780.0,0.5589024645915488,5.282585298377455,0.3734819194995631,True,72.0,5184.0,1800.0,0.0138888888888888,0.0250771604938271,3.0079439194342306,0.2962255530156903,9.445325675907355,5.321322334000001,True,-4.234753747033208,-3.267533550652655,5.348823684012452,5.312069220140126,0.0,0.0,204.0,5100.0,0.0393518518518518,0.0478395061728395,73.5858617760512,89.60288673364776,12.84867987079671,9.802227920620329,0.7843092920088769,0.705070468518753,-0.0085647980422648,50.0,,1.6119414347854255,1.0740672431855642,-0.650735828322771,2.364989483467923,-2.3772088134884934,1.624160764805996,0.2667885525743973,0.0862868425677535,-1.003811223464922,13.0,40.0,1.0,True,GYS,155,641.4461831152009,94.16323217917125,31.182696968017,30.51435907813276,0.2059285626048222,0.9090910340098252,46.29267557833819,58.52673898191176,2.114535911679876,True,488.0,507.0,green fluorescent,keyword,cis,5.282585298377452,5.282585298377452,1.021902406279383,0.9324450871929978,19.0,green,2.5,0.198,222,13.988042497394868,13.6430487650317,10.647027015686035,3.832857109251477,14.1087323067616,0.2716655916289929,98,0.1527797694953305,0.0,74.0,,,,,True
1EMG,ok,,CRO,22.0,1729.0,-3.9547527139399694,4.188976161904549,0.3923442986932284,True,45.0,5184.0,1125.0,0.0086805555555555,0.015432098765432,3.1349126763102046,0.3144215800693177,4.037056934745237,6.506122082999994,True,-6.22113306910653,6.812542652399364,9.225683392263765,5.76086714943333,0.0,0.0,167.0,4175.0,0.0322145061728395,0.0459104938271604,55.25521261052069,89.92856976674726,13.561242189230889,3.4669267434331745,-0.3407224032324266,0.6606050130446953,0.2198364096448682,50.0,,-1.6081237020552464,0.6801983925776122,-0.1276166582608784,-0.984023597905152,-1.8674702102912404,1.2433701061411462,0.4270666074968527,0.0934185881605141,-0.6481018539182453,13.0,40.0,1.0,True,CRO,155,637.8595430759004,93.57536668697,31.41589880872361,29.601503271359263,0.334921749835185,0.9154019773306218,47.33422995518808,51.04423980552378,2.1751723700354053,True,488.0,507.0,green fluorescent,keyword,cis,4.188976161904558,4.188976161904558,1.061294033641861,0.9371549991976084,19.0,green,2.0,0.186,225,30.90883130813097,12.875855953422096,26.980844451056587,20.892272645776924,31.03732360584048,0.6731338343182883,113,0.1771549884714257,0.0,99.0,,,,,True
1EML,ok,,GYS,21.0,1742.0,0.4245132978178218,4.284392629698004,0.3070910934423945,True,50.0,5184.0,1250.0,0.009645061728395,0.0150462962962962,3.1942627023435173,0.2783724965408378,4.631109205177156,6.881870792000001,True,-2.290617304719192,17.43104316323437,17.580904225756385,4.305372428191867,0.0,0.0,183.0,4575.0,0.0353009259259259,0.0482253086419753,38.43905473071749,89.14711689382196,12.886354019423704,13.424096038086336,-0.901611535696642,0.8218997083569985,-0.0220901995578292,50.0,,-0.8091660750634084,0.1990744498908656,0.0420117869426674,-3.419739622274001,1.6286231532577309,0.9819503939528618,0.4787873541470865,-0.0316011742430111,-0.4051743929614079,13.0,41.0,1.0,True,GYS,154,650.646789372897,94.2706135272801,31.13016756657575,30.625394194293545,0.1793514112920277,0.9200310573956144,46.66210467489006,19.71928269684605,2.0628441116176632,True,488.0,507.0,green fluorescent,keyword,cis,4.284392629698002,4.284392629698002,1.0164821836767168,0.8981722828677765,19.0,green,2.3,0.201,220,29.11033715752193,13.855712420250256,27.671545597639952,16.451428595043364,29.264089083382,0.5621712177053728,97,0.1490824231892238,0.0,105.0,,,,,True
1EMM,ok,,GYS,21.0,1746.0,0.2031770102136579,-0.6497236430817566,0.3245301235612721,True,22.0,5184.0,550.0,0.0042438271604938,0.0084876543209876,3.19979090862732,0.2987086478670804,4.84062512571694,5.544662624999999,True,-0.4549034145936572,6.171981865559862,6.188723395451501,0.680750842716183,0.0,0.0,113.0,2825.0,0.0217978395061728,0.0285493827160493,112.66393276514746,89.21662721071567,18.962428594652952,6.8533740516730886,-0.2615694788498679,0.9301085967979592,-0.061516987200284,51.0,,1.4178398262012657,0.8917064434150572,-0.6397544564612052,-0.7229365901091125,0.4774942598434633,1.663282156466915,0.0786804877046951,0.1832059298378502,-0.9016408740037506,13.0,41.0,1.0,True,GYS,154,675.7252303611511,95.51733809690616,31.266634672055112,30.42846673742922,0.2299904076825012,0.9307125651756016,46.34236509213192,20.21522016771383,2.0691427996070058,True,488.0,507.0,green fluorescent,keyword,cis,-0.6497236430817593,0.6497236430817593,1.0275455198534498,0.9086217492984996,19.0,green,2.3,0.194,220,33.14181870826973,15.537305809492905,31.798363661766057,12.141904785519554,33.396289679058974,0.3635704715165737,105,0.1553886036545967,0.0,96.0,,,,,True
